"","Cong","X","X.1","X.2","State","X.3","Name","Dim1","Dim2","X.4","X.5","X.6","X0.714"
"1",1,4998,1,0,"CONNECT",5000,"JOHNSON",0.9927,-0.1205,-27.58372,82,15,0.808
"2",1,2936,1,0,"CONNECT",5000,"ELLSWORTH",0.5055,0.5816,-20.67634,97,11,0.689
"3",1,507,11,0,"DELAWAR",4000,"BASSETT",0.12,-0.2099,-33.51575,90,19,0.719
"4",1,7762,11,0,"DELAWAR",5000,"READ",0.2427,-0.3056,-31.65141,96,13,0.673
"5",1,3128,44,0,"GEORGIA",4000,"FEW",-0.5423,-0.6117,-33.70258,85,27,0.55
"6",1,3877,44,0,"GEORGIA",4000,"GUNN",-0.0939,-0.8141,-49.57721,83,21,0.574
"7",1,1536,52,0,"MARYLAN",5000,"CARROLL",0.177,-0.5646,-52.65751,95,18,0.634
"8",1,4333,52,0,"MARYLAN",5000,"HENRY",0.1609,-0.6376,-44.1454,97,32,0.8
"9",1,2307,3,0,"MASSACH",5000,"DALTON",0.8246,0.5339,-22.04456,99,17,0.838
"10",1,9028,3,0,"MASSACH",5000,"STRONG",0.6063,0.7952,-14.48276,82,7,0.591
"11",1,5449,4,0,"NEW HAM",5000,"LANGDON",0.372,-0.3618,-43.71981,83,25,0.808
"12",1,10272,4,0,"NEW HAM",4000,"WINGATE",-0.4393,0.8984,-20.83849,98,13,0.649
"13",1,2943,12,0,"NEW JER",5000,"ELMER",0.4036,-0.0824,-37.18441,86,21,0.791
"14",1,7231,12,0,"NEW JER",5000,"PATERSON",0.8892,0.0953,-16.85731,72,11,0.802
"15",1,8282,13,0,"NEW YOR",5000,"SCHUYLER",0.9143,-0.4049,-20.69642,94,11,0.789
"16",1,5270,13,0,"NEW YOR",5000,"KING",0.7917,-0.279,-22.77764,96,10,0.678
"17",1,4212,47,0,"NORTH C",5000,"HAWKINS",-0.0966,-0.7266,-28.33768,73,18,0.643
"18",1,5012,47,0,"NORTH C",5000,"JOHNSTON",0,-0.6529,-33.97026,77,21,0.772
"19",1,5891,14,0,"PENNSYL",4000,"MACLAY",-0.6825,0.4294,-20.49142,79,8,0.673
"20",1,6712,14,0,"PENNSYL",5000,"MORRIS",0.618,-0.586,-38.40563,97,24,0.689
"21",1,8845,5,0,"RHODE I",4000,"STANTON",-0.0764,-0.0496,-22.76381,61,13,0.717
"22",1,3315,5,0,"RHODE I",5000,"FOSTER",0.2137,0.6348,-20.25728,61,12,0.584
"23",1,1346,48,0,"SOUTH C",5000,"BUTLER",-0.4113,-0.9115,-51.08571,95,28,0.59
"24",1,4837,48,0,"SOUTH C",5000,"IZARD",0.33,-0.586,-52.16741,99,31,0.767
"25",1,5565,40,0,"VIRGINI",4000,"LEE",-0.3451,-0.5445,-24.14485,91,11,0.634
"26",1,9747,40,0,"VIRGINI",5000,"WALKER",0.1612,-0.9869,-26.41502,58,21,0.829
"27",2,2936,1,0,"CONNECT",5000,"ELLSWORTH",0.5055,0.5816,-9.76534,52,2,0.725
"28",2,8457,1,0,"CONNECT",5000,"SHERMAN",-0.504,-0.083,-16.71788,52,8,0.653
"29",2,507,11,0,"DELAWAR",5000,"BASSETT",0.12,-0.2099,-15.34577,36,7,0.717
"30",2,7762,11,0,"DELAWAR",5000,"READ",0.2427,-0.3056,-17.31702,52,10,0.695
"31",2,3877,44,0,"GEORGIA",4000,"GUNN",0.0676,-0.7682,-16.34571,45,9,0.772
"32",2,3128,44,0,"GEORGIA",4000,"FEW",-0.5423,-0.6117,-12.70868,49,3,0.834
"33",2,4333,52,0,"MARYLAN",5000,"HENRY",0.1609,-0.6376,-9.23987,51,3,0.797
"34",2,1536,52,0,"MARYLAN",5000,"CARROLL",0.177,-0.5646,-8.18407,36,4,0.672
"35",2,9028,3,0,"MASSACH",5000,"STRONG",0.6063,0.7952,-17.92079,45,11,0.818
"36",2,1384,3,0,"MASSACH",5000,"CABOT",0.638,0.364,-10.46132,52,5,0.645
"37",2,5449,4,0,"NEW HAM",5000,"LANGDON",0.0225,-0.3283,-21.07576,48,10,0.915
"38",2,10272,4,0,"NEW HAM",4000,"WINGATE",-0.4393,0.8984,-4.53866,51,1,0.8
