"","X.1","X","fips","area_name","state_abbreviation","pop_2014","pop_2010_april","pop_change_2010.2014","pop_2010","under_5","under_18","over_65","female","white_alone","black_alone","native_american_alone","asian_alone","pacific_islander_alone","X2_or_more_races","hispanic.latino","white_alone_no.latino","living_in_same_house_1_yr_.","foreign_born","non.english_home.language","high_school.min_edu","bachelor_dgr.min_edu","veterans","travel_time_to_work","housing_units","homeOwnership","median_units_per_housing","median_housing_value","households","persons_per_household","per_capita_income","median_household_income","below_poverty_level","non.farm_establishments","non.farm_employment_2014","non.farm_employment_change_2012.2013","nonEmployer_establishments","total_num_firms","black_owned_firms","native_owned_firms","asian_owned_firms","pacific_islander_owned_firms","hispanic_owned_firms","women_owned_firms","manufacturers_shipments","merchant_wholesaler_sales","retail_sales","retail_sales_per.capita","accommodation.food.service_sales","building_permits","land_area","pop_density","total_religious_adherence","evangelical_adherence","black_protestant_adherence","mainline_protestant_adherence","catholic_adherence","FIPS","county","total_2008","dem_2008","gop_2008","oth_2008","total_2012","dem_2012","gop_2012","oth_2012","total_2016","dem_2016","gop_2016","oth_2016","dem_2008_pct","dem_2012_pct","dem_2016_pct","gop_2008_pct","gop_2012_pct","gop_2016_pct","dem_gop_2008_spread_pct","dem_gop_2012_spread_pct","dem_gop_2016_spread_pct","dem_gop_spread_2008_2012_change","dem_gop_spread_2012_2016_change","dem_gop_spread_2008_2016_change","dummy"
"1",1,1,0,"United States","",318857056,308758105,3.3,308745538,6.2,23.1,14.5,50.8,77.4,13.2,1.2,5.4,0.2,2.5,17.4,62.1,84.9,12.9,20.7,86,28.8,21263779,25.5,133957180,64.9,26,176700,115610216,2.63,28155,53046,15.4,7488353,118266253,2,23005620,27092908,7.1,0.9,5.7,0.1,8.3,28.8,5319456312,4174286516,3917663456,12990,613795732,1046363,3531905.43,87.4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2",2,2,1000,"Alabama","",4849377,4780127,1.4,4779736,6.1,22.8,15.3,51.5,69.7,26.7,0.7,1.3,0.1,1.5,4.1,66.2,85,3.5,5.2,83.1,22.6,388865,24.2,2207912,69.7,15.9,122500,1838683,2.55,23680,43253,18.6,97578,1603100,1.1,311578,382350,14.8,0.8,1.8,0.1,1.2,28.1,112858843,52252752,57344851,12364,6426342,13369,50645.33,94.4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3",3,3,1001,"Autauga County","AL",55395,54571,1.5,54571,6,25.2,13.8,51.4,77.9,18.7,0.5,1.1,0.1,1.8,2.7,75.6,85,1.6,3.5,85.6,20.9,5922,26.2,22751,76.8,8.3,136200,20071,2.71,24571,53682,12.1,817,10120,2.1,2947,4067,15.2,0,1.3,0,0.7,31.7,0,0,598175,12003,88157,131,594.44,91.8,676.8788889,503.99,41.97888889,82.85888889,32.35888889,1001,"Autauga County",23641,6093,17403,145,23909,6354,17366,189,24661,5908,18110,643,0.257730214457933,0.265757664477812,0.239568549531649,0.736136373249862,0.726337362499477,0.73435789302948,-0.478406158791929,-0.460579698021666,-0.494789343497831,0.0178264607702637,-0.034209645476165,-0.0163831847059013,0
"4",4,4,1003,"Baldwin County","AL",200111,182265,9.8,182265,5.6,22.2,18.7,51.2,87.1,9.6,0.7,0.9,0.1,1.6,4.6,83,82.1,3.6,5.5,89.1,27.7,19346,25.9,107374,72.6,24.4,168600,73283,2.52,26766,50221,13.9,4871,54988,3.7,16508,19035,2.7,0.4,1,0,1.3,27.3,1410273,0,2966489,17166,436955,1384,1589.78,114.6,531.74,318.1388889,17.17,110.14,76.85888889,1003,"Baldwin County",81413,19386,61271,756,84988,18329,65772,887,94090,18409,72780,2901,0.238119219289303,0.215665741045795,0.195653098097566,0.752594794443148,0.773897491410552,0.773514719948985,-0.514475575153845,-0.558231750364757,-0.577861621851419,-0.0437561752109121,-0.0196298714866615,-0.0633860466975736,1
"5",5,5,1005,"Barbour County","AL",26887,27457,-2.1,27457,5.7,21.2,16.5,46.6,50.2,47.6,0.6,0.5,0.2,0.9,4.5,46.6,84.8,2.9,5,73.7,13.4,2120,24.6,11799,67.7,10.6,89200,9200,2.66,16829,32911,26.7,464,6611,-5.6,1546,1667,0,0,0,0,0,27,0,0,188337,6334,0,8,884.88,31,549.99,320.25,121.2088889,77.93888889,20.94,1005,"Barbour County",11630,5697,5866,67,11459,5873,5539,47,10390,4848,5431,111,0.489853826311264,0.512522907758094,0.46660250240616,0.504385210662081,0.483375512697443,0.522714148219442,-0.0145313843508169,0.029147395060651,-0.056111645813282,0.0436787794114679,-0.085259040873933,-0.0415802614624651,0
"6",6,6,1007,"Bibb County","AL",22506,22919,-1.8,22915,5.3,21,14.8,45.9,76.3,22.1,0.4,0.2,0.1,0.9,2.1,74.5,86.6,1.2,2.1,77.5,12.1,1327,27.6,8978,79,7.3,90500,7091,3.03,17427,36447,18.1,275,3145,7.5,1126,1385,14.9,0,0,0,0,0,0,0,124707,5804,10757,19,622.58,36.8,498.8,443.3288889,42.15888889,13.17888889,0,1007,"Bibb County",8644,2299,6262,83,8391,2200,6131,60,8748,1874,6733,141,0.265964831096714,0.262185675128113,0.214220393232739,0.724433132808885,0.730663806459302,0.769661636945588,-0.45846830171217,-0.468478131331188,-0.555441243712849,-0.0100098296190179,-0.0869631123816605,-0.0969729420006784,0
"7",7,7,1009,"Blount County","AL",57719,57322,0.7,57322,6.1,23.6,17,50.5,96,1.8,0.6,0.3,0.1,1.2,8.7,87.8,88.7,4.3,7.3,77,12.1,4540,33.9,23826,81,4.5,117100,21108,2.7,20730,44145,15.8,660,6798,3.4,3563,4458,0,0,0,0,0,23.2,341544,0,319700,5622,20941,3,644.78,88.9,651.62,509.8,1.01,52.95,82.76,1009,"Blount County",24267,3522,20389,356,23980,2961,20741,278,25384,2150,22808,426,0.145135369019656,0.12347789824854,0.0846990230066183,0.840194502822763,0.864929107589658,0.898518751969745,-0.695059133803107,-0.741451209341118,-0.813819728963126,-0.0463920755380104,-0.0723685196220089,-0.118760595160019,1
"8",8,8,1011,"Bullock County","AL",10764,10915,-1.4,10914,6.3,21.4,14.9,45.3,26.9,70.1,0.8,0.3,0.7,1.1,7.5,22.1,84.7,5.4,5.2,67.8,12.5,636,26.9,4461,74.3,8.7,70600,3741,2.73,18628,32033,21.6,112,0,0,470,417,0,0,0,0,0,38.8,0,0,43810,3995,3670,1,622.81,17.5,577.24,197.18,315.6488889,55.07,4.49,1011,"Bullock County",5415,4011,1391,13,5318,4058,1250,10,4701,3530,1139,32,0.740720221606648,0.763068822865739,0.750904062965327,0.256879039704524,0.235050770966529,0.242288874707509,0.483841181902124,0.52801805189921,0.508615188257817,0.0441768699970864,-0.0194028636413927,0.0247740063556938,0
"9",9,9,1013,"Butler County","AL",20296,20946,-3.1,20947,6.1,23.6,18,53.6,53.9,44,0.4,0.9,0,0.8,1.2,53.1,94.6,0.8,1.7,76.3,14,1497,24,9916,70.3,13.3,74700,8235,2.47,17403,29918,28.4,393,5711,2.7,1095,1769,0,0,3.3,0,0,0,399132,56712,229277,11326,28427,2,776.83,27,586.1488889,413.0888889,79.09888889,78.90888889,3.68,1013,"Butler County",9709,4188,5485,36,9483,4367,5081,35,8685,3716,4891,78,0.431352353486456,0.460508277971106,0.427864133563615,0.564939746626841,0.535800906886007,0.563154864709269,-0.133587393140385,-0.0752926289149004,-0.135290731145653,0.0582947642254849,-0.0599981022307531,-0.00170333800526823,0
"10",10,10,1015,"Calhoun County","AL",115916,118586,-2.3,118572,5.7,22.2,16,51.8,75.8,21.1,0.5,0.9,0.1,1.7,3.5,72.9,83.6,2.4,4.5,78.6,16.1,11385,22.5,53289,68.7,13.8,100600,45196,2.54,20828,39962,21.9,2311,34871,0.6,6352,8713,7.2,0,1.6,0,0.5,24.7,2679991,0,1542981,13678,186533,114,605.87,195.7,713.62,569.8088889,43.53888889,59.59,26.92,1015,"Calhoun County",49242,16334,32348,560,46240,15500,30272,468,47376,13197,32803,1376,0.331708703951911,0.335207612456747,0.278558763931104,0.656918890378132,0.654671280276817,0.692396994258696,-0.325210186426221,-0.319463667820069,-0.413838230327592,0.00574651860615222,-0.0943745625075228,-0.0886280439013706,0
